path,verdict,seconds,restarts,deleted
benchmarks/satlib/uf100-430/uf100-0254.cnf,SAT,0.002,4,0
benchmarks/satlib/uf100-430/uf100-0255.cnf,SAT,0.001,2,0
benchmarks/satlib/uf100-430/uf100-0256.cnf,SAT,0.000,1,0
benchmarks/satlib/uf100-430/uf100-0257.cnf,SAT,0.001,2,0
benchmarks/satlib/uf100-430/uf100-0258.cnf,SAT,0.001,2,0
benchmarks/satlib/uf100-430/uf100-0259.cnf,SAT,0.001,2,0
benchmarks/satlib/uf100-430/uf100-026.cnf,SAT,0.002,5,0
benchmarks/satlib/uf100-430/uf100-0260.cnf,SAT,0.002,4,0
benchmarks/satlib/uf100-430/uf100-0261.cnf,SAT,0.000,1,0
benchmarks/satlib/uf100-430/uf100-0262.cnf,SAT,0.002,5,0
benchmarks/satlib/uf100-430/uf100-0263.cnf,SAT,0.001,2,0
benchmarks/satlib/uf100-430/uf100-0264.cnf,SAT,0.001,1,0
benchmarks/satlib/uf100-430/uf100-0265.cnf,SAT,0.001,1,0
benchmarks/satlib/uf100-430/uf100-0266.cnf,SAT,0.003,6,0
benchmarks/satlib/uf100-430/uf100-0267.cnf,SAT,0.001,1,0
benchmarks/satlib/uf100-430/uf100-0268.cnf,SAT,0.001,2,0
benchmarks/satlib/uf100-430/uf100-0269.cnf,SAT,0.002,5,0
benchmarks/satlib/uf100-430/uf100-027.cnf,SAT,0.001,2,0
benchmarks/satlib/uf100-430/uf100-0270.cnf,SAT,0.001,2,0
benchmarks/satlib/uf100-430/uf100-0271.cnf,SAT,0.002,4,0
benchmarks/satlib/uf100-430/uf100-0272.cnf,SAT,0.001,3,0
benchmarks/satlib/uf100-430/uf100-0273.cnf,SAT,0.003,6,0
benchmarks/satlib/uf100-430/uf100-0274.cnf,SAT,0.001,2,0
benchmarks/satlib/uf100-430/uf100-0275.cnf,SAT,0.002,4,0
benchmarks/satlib/uf100-430/uf100-0276.cnf,SAT,0.003,6,0
benchmarks/satlib/uf100-430/uf100-0277.cnf,SAT,0.001,2,0
benchmarks/satlib/uf100-430/uf100-0278.cnf,SAT,0.000,0,0
benchmarks/satlib/uf100-430/uf100-0279.cnf,SAT,0.001,1,0
benchmarks/satlib/uf100-430/uf100-028.cnf,SAT,0.001,1,0
benchmarks/satlib/uf100-430/uf100-0280.cnf,SAT,0.002,3,0
